OFFENSE DESCRIPTION,STATUTE,TYPE,CLASS,NIBR,UCR
POSS MARIJUANA > 4OZ <= 5LBS,481.121(b)(3),Offense,,35A,18
POSS MARIJUANA > 50LBS <= 2000LBS,481.121(b)(5),Offense,,35A,18
POSS MARIJUANA > 5LBS <= 50LBS,481.121(b)(4),Offense,,35A,18
POSS MARIJUANA > 5LBS DRUG FREE ZONE,481.134(c),Offense,,35A,18
POSS USE ABUSABLE/AEROSOL PAINT W/INT INHALE,485.031,Offense,,35A,18
POSS USE LAW ENFORCEMENT ID IN POPULOUS,341.904(b),Offense,,26C,11
AREA MB,,,,,
POSS USE SUBSTAINS CONTAIN VIOLATILE CHEMICAL,484.003(a),Offense,,35A,18
POSS W/INT DEL/MAN INHALANT PARAPHERNALIA,484.004(b)(1),Offense,,35B,26
"",(b),,,,
POSSESSION DANGEROUS DRUGS,483.041,Offense,MISD,35A,18
POSSESSION OF A FIREARM BY A FELON,46.04,Offense,,520,15
POSSESSION OF ALCOHOL BY A MINOR,28.06,Offense,,90G,22
POSSESSION OF METAL OR BODY ARMOR BY FELON,PC 46.041,Offense,FELONY,90Z,26
POSSESSION OF OPEN CONTAINER IN MOTOR,TX P.C.,Offense,MISD,TRF,TRF
VEHICLE,49.031,,,,
POSSESSION OF STOLEN PROPERTY,,Offense,,280,13
POSSESSION OR DELIVERY OF DRUG,HSC 481.125,Offense,MISD,35B,26
PARAPHERNALIA,,,,,
POSSESSION OR PROMOTION OF CHILD,PC 43.26,Offense,FELONY,370,26
PORNOGRAPHY,,,,,
POSSESSION PROHIBITED WEAPON,46.05,Offense,,520,15
PRIVILEGED PARKING (HANDICAP),,Offense,,TRF,TRF
PROHIBITED MOTOR VEH. ON CONTROLLED-ACCESS,545.065,Offense,,TRF,TRF
HIGHWAY,,,,,
PROHIBITED SUBSTANCE / ITEM IN CORRECTIONAL,PC 38.11,Offense,FELONY,35A,18
FACILITY,,,,,
PROMOTE PROSTITUTION,43.03,Offense,,40B,16B
PROPERTY FOUND / LOST / RECOVERED,,Offense,,TRF,TRF
PROSTITUTION,43.02(a),Offense,,40A,16A
PROSTITUTION,43.02(b),Offense,MISD,40C,16C
PROSTITUTION W/ PREV CONVICTION,43.02(c),Offense,,40A,16A
PUBLIC INTOXICATION,49.02,Offense,,90Z,26
PUBLIC INTOXICATION MINOR (DEFERRED),,Offense,,90Z,26
PUBLIC INTOXICATION W/3 PRIOR CONVICTIONS,49.02,Offense,,90Z,26
PUBLIC INTOXICATION: MINOR 3RD ENH,49.02,Offense,,90Z,26
PUBLIC LEWDNESS,21.07,Offense,,90C,24
PUBLIC NUISANCE - ENH M*,341.091,Offense,,90C,24
PULL MORE THAN ONE TRAILER OR OTHER VEH.,ALL,Offense,,TRF,TRF
"(WHEN NOT AUTHORIZED TO DO SO)",OTHERS,,,,
PULLING AWAY -- UNSAFE START FROM PARKED,545.402,Offense,,TRF,TRF
"(STOPPED OR STANDING) POSITION",,,,,
PURCHASE ALCOHOL BY MINOR (DEFERRED),,Offense,,90G,22
PURCHASE OF ALCOHOL BY A MINOR,106.02,Offense,,90G,22
PURCHASE/FURNISH ALCOH TO A MINOR,106.06,Offense,,90G,22
RAN RED LIGHT (IN TRAFFIC LIGHT),544.007,Offense,,TRF,TRF
RAN STOP SIGN,545.151,Offense,,TRF,TRF
RECKLESS DAMAGE OR DESTRUCTION,PC 28.04,Offense,MISD,290,14
RECKLESS DRIVING,545.401,Offense,,TRF,TRF
RECOVERED STOLEN,,Offense,,TRF,TRF
RED LIGHT(S) ON FRONT,547.305,Offense,,TRF,TRF
REFLECTORS IMPROPERLY MOUNTED -- REAR (TOO,547.325,Offense,,TRF,TRF
"HIGH, TOO LOW, ETC.)",,,,,
REFLECTORS IMPROPERLY MOUNTED -- SIDE (TOO,547.354,Offense,,TRF,TRF
"HIGH, TOO LOW, ETC.)",,,,,
REFLECTORS NOT VISIBLE SUFFICIENT DISTANCE,547.355,Offense,,TRF,TRF
REFUSE TO SURRENDER A SUSPENDED,521.451,Offense,,TRF,TRF
OPERATOR/DRIVER LICENSE,,,,,
RESIST ARREST SEARCH OR TRANSPORT DEADLY,38.03(d),Offense,,90Z,26
WEAPON,,,,,
RESIST ARREST SEARCH OR TRANSPORT MA,38.03(a),Offense,,90Z,26
RIOT PARTICIPATION,42.02(a),Offense,,90C,24
ROBBERY,29.02,Offense,,120,03
SALE ALCOHOLIC BEVERAGE INTOXICATED/INSANE,101.63,Offense,,90G,22
PERSON,,,,,
SALE OF ALCOHOL TO MINORS,106.03,Offense,,90G,22
SALE OF TOBACCO PRODUCTS TO A MINOR,,Offense,,90Z,26
"SALE, DISTRIBUTION, OR DISPLAY OF HARMFUL",PC 43.24,Offense,MISD,370,26
MATERIAL TO MINOR,,,,,
SEAT BELT - EQUIPMENT VIOLATION,547.601,Offense,,TRF,TRF
SECURING EXECUTION OF DOCUMENT BY,32.46 (b)(3),Offense,MISD,26A,11
DECEPTION,,,,,
SECURING EXECUTION OF DOCUMENT BY,PC 32.46,Offense,FELONY,26A,11
DECEPTION >=$100K<$200K,,,,,
SECURING EXECUTION OF DOCUMENT BY,PC 32.46,Offense,FELONY,26A,11
DECEPTION >=$200K,,,,,
SELL  MOTORCYCLE W/O REGISTRATION,ALL,Offense,,90Z,26
"",OTHERS,,,,
SELL ABUSEABLE GLUE/AEROSOL PAINT U/18 YOA MB,485.036,Offense,,35A,18
SELL OR PURCHASE CHILD,25.08,Offense,,90Z,26
SELL UNTAXED LIQUOR,201.13,Offense,,90G,22
"SELL, MANUFACTURE, DISTRIBUTE, OR POSS. FICT.",521.453,Offense,,90Z,26
DL OR ID CERT.,,,,,
SEX OFFENDERS DUTY TO REGISTER 10YRS,62.1,Offense,,90Z,26
SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,62.1,Offense,,90Z,26
SEX OFFENDERS DUTY TO REGISTER W/PREV CONV,62.1,Offense,,90Z,26
SEX OFFENDERS FAILURE TO COMPLY/CIVIL,CCP 62.102,Offense,,90Z,26
SEXUAL ASSAULT,22.011,Offense,,11A,02
SEXUAL ASSAULT - FORCIBLE FONDLING,,Offense,,11D,17
SEXUAL ASSAULT - FORCIBLE SODOMY,22.011(a)(1)(,Offense,,11B,17
"",B),,,,
SEXUAL ASSAULT - STATUTORY RAPE,21.11,Offense,,36B,17
SEXUAL ASSAULT CHILD W/ OBJECT,22.011(a)(2),Offense,,11C,17
SEXUAL ASSAULT ON A CHILD,22.011(a)(2),Offense,,11A,02
SEXUAL ASSAULT ON PERSONS 65 YEARS OR OLDER,22.021(a)(2)(,Offense,,11A,02
"",C),,,,
SEXUAL ASSAULT W/ OBJECT,22.011(a)(1),Offense,,11C,17
SILENT OR ABUSIVE CALLS TO 911 SERVICE,42.061,Offense,,90C,24
SLOW MOVING VEH. EMBLEM IMPROPERLY MOUNTED,547.703,Offense,,TRF,TRF
"(TOO HIGH, TOO LOW, ETC.)",,,,,
SLOW MOVING VEH. EMBLEM NOT IN CLEAN (OR,547.703,Offense,,TRF,TRF
REFLECTIVE) CONDITION,,,,,
SLOWER VEH. FAILED TO KEEP TO RIGHT,545.051,Offense,,TRF,TRF
SMOKING TOBACCO IN UNAUTH. PLACE,48.01(a),Offense,,90Z,26
SOLICIT MEMBERSHIP IN CRIMINAL STREET GANG,71.022,Offense,,90Z,26
SOLICIT MEMBERSHIP IN CRIMINAL STREET GANG,71.022,Offense,,90Z,26
ENH,,,,,
SPEED UNDER MINIMUM,545.363,Offense,,TRF,TRF
SPEEDING,,Offense,,TRF,TRF
SPEEDING (EXCEED PRIMA FACIE LIMIT AT TIME AND,541.201,Offense,,TRF,TRF
PLACE FOR THAT TYPE VEH.),,,,,
SPEEDING - 15 MILES OR OVER,545.351,Offense,,TRF,TRF
SPEEDING > 10% ABOVE POSTED LIMIT,541.201 &,Traffic,MISD,TRF,TRF
"",708.52,,,,
SPEEDING IN CONSTRUCTION ZONE,,Offense,,TRF,TRF
SPEEDING IN SCHOOL ZONE,541.201,Offense,MISD,TRF,TRF
SPEEDING MOTOR DRIVEN CYCLE (OVER 35),545.361,Offense,,TRF,TRF
SPEEDING OVER 15MPH (CDL ONLY),,Offense,,TRF,TRF
SPEEDING--10 MPH MAXIMUM FOR SOLID TIRE,545.361,Offense,,TRF,TRF
SPEEDING--ZONED,545.353,Offense,,TRF,TRF
STALKING,42.072(b),Offense,,13C,08
STALKING W/PREV CONVIC,42.072(b),Offense,,13C,08
STAND OR PARK WITHIN 15 FEET OF FIRE HYDRANT,545.302,Offense,,TRF,TRF
STAND OR PARK WITHIN 20 FEET OF CROSSWALK,545.302,Offense,,TRF,TRF
STAND OR PARK WITHIN 20 FEET OF DRIVEWAY,545.302,Offense,,TRF,TRF
STAND OR PARK WITHIN 30 FEET OF TRAFFIC,545.302,Offense,,TRF,TRF
CONTROL DEVICE,,,,,
STEALING OR RECEIVING STOLEN CHECK OR SIMILAR,PC 32.24,Offense,MISD,23H,06
SIGHT ORDER,,,,,
STOOD IN ROADWAY TO SOLICIT RIDE,552.007,Offense,,TRF,TRF
"(CONTRIBUTIONS, EMPLOYMENT OR BUSINESS,",,,,,
SPECIFY WHICH),,,,,
STOOD ON (OR NEAR) STREET (OR HIGHWAY) TO,552.007(b),Offense,,TRF,TRF
SOLICIT GUARDING VEH.,,,,,
"STOP, STAND OR PARK BETWEEN SAFETY ZONE AND",545.302,Offense,,TRF,TRF
CURB,,,,,
"STOP, STAND OR PARK ON A CROSSWALK",545.302,Offense,,TRF,TRF
"STOP, STAND OR PARK ON A SIDEWALK",545.302,Offense,,TRF,TRF
"STOP, STAND OR PARK ON MAIN TRAVELED WAY",545.301,Offense,,TRF,TRF
"STOP, STAND OR PARK ON RAILROAD TRACK",545.302,Offense,,TRF,TRF
"STOP, STAND OR PARK WITHIN AN INTERSECTION",545.302,Offense,,TRF,TRF
"STOP, STAND, OR PARK DOUBLE",545.302,Offense,,TRF,TRF
"STOPPING, STANDING OR PARKING PROHIBITED IN",545.302,Offense,,TRF,TRF
SPECIFIED PLACES,,,,,
STORAGE OF LUMBER AND FIREWOOD,,Offense,,TRF,TRF
SUBSTANDARD STRUCTURE,,Offense,,90Z,26
SUICIDE,,Offense,,TRF,TRF
SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,,Offense,,TRF,TRF
TAIL LAMP IMPROPERLY LOCATED ON MOT. CYC. (OR,547.801,Offense,,TRF,TRF
MOTOR-DRIVEN CYCLE),,,,,
"TAIL LAMP(S) IMPROPERLY LOCATED (TOO HIGH, TOO",547.322,Offense,,TRF,TRF
LOW),,,,,
TAKING OR ATTEMPT TO TAKE WEAPON FROM AN,38.14,Offense,,13A,04
TAMPER W/ GOVT RECORD DEFRAUD/HARM,37.10(c) (d),Offense,FELONY,250,10
TAMPER W/ WITNESS,36.05(a),Offense,,13C,08
TAMPER W/CONSUMER PRODUCT(S),22.09(b),Offense,,290,14
TAMPER W/GOV'T RECORD,37.10 (a),Offense,MISD,250,10
TAMPER W/OIL/GAS RIGS W/O WRITTEN AUTH,85.389(a),Offense,,290,14
TAMPER W/WARNING DEVICES M*,472.021,Offense,,290,14
TAMPER WITH IDENTIFICATION NUMBERS,31.11,Offense,MISD,90Z,26
TAMPER/FABRICATE PHYS EVID/FAILS REP HUMAN,37.09(d)(2),Offense,,26A,11
REMAIN,,,,,
TAMPER/FABRICATE PHYSICAL EVID W/INTENT TO,37.09(d)(1),Offense,,26A,11
IMPAIR,,,,,
TAMPER/FABRICATE PHYSICAL EVIDENCE -,PC 37.09,Offense,FELONY,90Z,26
ALTER/DESTROY/CONCEAL,,,,,
TAMPERING WITH BARRICADE,ALL,Offense,,TRF,TRF
"",OTHERS,,,,
TATTOOS PROHIBITED FOR PERSONS U/18YRS MA,146.012,Offense,,90Z,26
TELEVISION RECEIVER IMPROPERLY LOCATED,ALL,Offense,,TRF,TRF
"(VISIBLE TO DRIVER)",OTHERS,,,,
TERRORISTIC THREAT,22.07(a)(1&2,Offense,,13C,08
"",),,,,
TERRORISTIC THREAT - CAUSE/IMPAIR PUBLIC,22.07(a)(4),Offense,,13C,08
SERVICE,,,,,
TERRORISTIC THREAT - FAMILY,PC 22.07,Offense,MISD,13C,08
TERRORISTIC THREAT - INFLUENCE CONDUCT OR,22.07 (a)(6),Offense,FELONY,13C,08
ACTIVITIES,,,,,
TERRORISTIC THREAT - INTERRUPT PUBLIC PLACE,22.07(a)(3),Offense,,13C,08
TERRORISTIC THREATS - PLACE PUBLIC IN FEAR OF,22.07 (a) (5),Offense,FELONY,13C,08
SBI,,,,,
THEFT  (ALL OTHERS),UCR,Offense,,23H,06
THEFT  (COIN OP MACHINE),UCR,Offense,,23E,06
THEFT  (FROM A BUILDING),UCR,Offense,,23D,06
THEFT  (FROM A MOTOR VEHICLE),UCR,Offense,,23F,06
THEFT  (OF MOTOR VEHICLE PARTS),UCR,Offense,,23G,06
THEFT  (POCKET PICKING),UCR,Offense,,23A,06
THEFT  (PURSE SNATCHING),UCR,Offense,,23B,06
THEFT  (SHOPLIFTING),UCR,Offense,,23C,06
THEFT (DECEPTION),31.03 (b)(1),Offense,,210,26
"THEFT (EMBEZZLEMENT) $2,500 < $30,000",31.03,Offense,,270,12
"",(a)(b)(1),,,,
THEFT (SHOPLIFTING) < $1500  2 OR MORE PREV,31.03(e)(4)(D,Offense,FELONY,23C,06
CONVIC,),,,,
THEFT (SHOPLIFTING) < $50,31.03,Offense,MISD,23C,06
THEFT (SHOPLIFTING) > $1500 < $20k,31.03 (4) (A),Offense,FELONY,23C,06
THEFT (SHOPLIFTING) >= $50 < $500,31.03(e)(2)(A,Offense,MISD,23C,06
"",),,,,
THEFT (SHOPLIFTING) >= $500 < $1500,31.03(e)(3),Offense,MISD,23C,06
THEFT < $1500  2 OR MORE PREV CONVIC,31.03(e)(4)(D,Offense,,23H,06
"",),,,,
THEFT < $20 BY CHECK,31.03,Offense,,90Z,26
THEFT < $20 W/ PREV CONVIC,31.03(e)(2)(B,Offense,,23H,06
"",),,,,
THEFT < $50,31.03,Offense,,23H,06
THEFT < $50 W/ PREV CONVIC,31.03(e)(2)(B,Offense,,23H,06
"",),,,,
THEFT > $1500 < $20k,31.03 (4) (A),Offense,,23H,06
THEFT >= $100K < $200K,31.03(e)(6),Offense,,23H,06
THEFT >= $20 < $500 BY CHECK,31.03(e)(2)(A,Offense,,90Z,26
"",),,,,
THEFT >= $200K,31.03(e)(7),Offense,,23H,06
THEFT >= $20K<$100K,31.03(e)(5),Offense,,23H,06
THEFT >= $50 < $500,31.03(e)(2)(A,Offense,,23H,06
"",),,,,
THEFT >= $500 < $1500,31.03(e)(3),Offense,,23H,06
THEFT >= $500 < $1500 BY CHECK,PC 31.03,Offense,MISD,90Z,26
THEFT FROM PERSON/HUMAN CORPSE/GRAVE,31.03(e)(4)(B,Offense,,23H,06
"",),,,,
THEFT HUMAN CORPSE/GRAVE PUB SERV/GOVT,31.03(f),Offense,,23H,06
CONTRACTOR,,,,,
THEFT OF FIREARM,31.03(e)(4)(C,Offense,,23H,06
"",),,,,
THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS,PC,Offense,FELONY,23H,06
"<$20K",31.03(E)(4)(F,,,,
"",),,,,
THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS,PC,Offense,FELONY,23H,06
"<$30K",31.03(E)(4)(F,,,,
"",),,,,
THEFT OF SERV <$100,PC 31.04,Offense,MISD,23H,06
THEFT OF SERV >=$100<$750,PC,Offense,MISD,23H,06
"",31.04(E)(2),,,,
THEFT OF SERV >=$150K<$300K,PC,Offense,FELONY,23H,06
"",31.04(E)(6),,,,
"THEFT OF SERV >=$2,500<$30K",PC,Offense,FELONY,23H,06
"",31.04(E)(4),,,,
THEFT OF SERV >=$300K,PC,Offense,FELONY,23H,06
"",31.04(E)(7),,,,
THEFT OF SERV >=$30K<$150K,PC,Offense,FELONY,23H,06
"",31.04(E)(5),,,,
"THEFT OF SERV >=$750<$2,500",PC,Offense,MISD,23H,06
THEFT OF SERVICES < $20,PC 31.04,Offense,MISD,23H,06
"THEFT OF SERVICES >= $1,500 < $20,000",PC 31.04,Offense,FELONY,23H,06
THEFT OF SERVICES >= $20 < $500,PC 31.04,Offense,MISD,23H,06
"THEFT OF SERVICES >= $20,000 < $100,000",PC 31.04,Offense,FELONY,23H,06
"THEFT OF SERVICES >= $500 < $1,500",PC 31.04,Offense,MISD,23H,06
THEFT OF TRADE SECRETS,31.05,Offense,,23H,06
THEFT OF/OR TAMPER W/MULTICHANNEL VIDEO,31.12,Offense,,23H,06
"THEFT PROP (CONTROLLED SUBSTANCE) < $150,000",PC 31.03,Offense,FELONY,23H,06
"",(E)(5)(C),,,,
"THEFT PROP (SHOPLIFITING) >=$750<$2,500",PC,Offense,MISD,23C,06
"",31.03(E)(3),,,,
THEFT PROP (SHOPLIFTING) <$100,PC 31.03,Offense,MISD,23C,06
THEFT PROP (SHOPLIFTING) <$100 W/PREV CONVIC,PC,Offense,MISD,23C,06
"",31.03(E)(2)(B,,,,
"",),,,,
"THEFT PROP (SHOPLIFTING) <$2,500 2/MORE PREV",PC,Offense,FELONY,23C,06
CONV,31.03(E)(4)(,,,,
"",D),,,,
THEFT PROP (SHOPLIFTING) >=$100<$750,PC,Offense,MISD,23C,06
"",31.03(E)(2)(A,,,,
"",),,,,
"THEFT PROP (SHOPLIFTING) >=$2,500<$30K",PC,Offense,FELONY,23C,06
"",31.03(E)(4)(A,,,,
"",),,,,
THEFT PROP <$100,PC 31.03,Offense,MISD,23H,06
THEFT PROP <$100 W/PREV CONVIC,PC,Offense,MISD,23H,06
"",31.03(E)(2)(B,,,,
"",),,,,
"THEFT PROP <$2,500 2/MORE PREV CONV",PC,Offense,FELONY,23H,06
"",31.03(E)(4)(,,,,
"",D),,,,
THEFT PROP <$300K ATM,PC,Offense,FELONY,23H,06
"",31.03(E)(6)(B,,,,
"",),,,,
THEFT PROP >=$100<$750,PC,Offense,MISD,23H,06
"",31.03(E)(2)(A,,,,
"",),,,,
THEFT PROP >=$150K<$300K,PC,Offense,FELONY,23H,06
"",31.03(E)(6)(A,,,,
"",),,,,
"THEFT PROP >=$2,500<$30K",PC,Offense,FELONY,23H,06
"",31.03(E)(4)(A,,,,
"",),,,,
THEFT PROP >=$300K,PC,Offense,FELONY,23H,06
"",31.03(E)(7),,,,
THEFT PROP >=$30K<$150K,PC,Offense,FELONY,23H,06
"",31.03(E)(5),,,,
"THEFT PROP >=$750<$2,500",PC,Offense,MISD,23H,06
"",31.03(E)(3),,,,
THEFT TELECOMMUNICATION SERVICE,33A.04(b)(2)(,Offense,,23H,06
"",A),,,,
TOO MANY AUXILIARY DRIVING LAMPS,547.33,Offense,,TRF,TRF
TOO MANY AUXILIARY PASSING LAMPS,547.329,Offense,,TRF,TRF
TOO MANY FOG LAMPS,547.328,Offense,,TRF,TRF
TOO MANY RIDERS -- MOT. CYC.,545.416,Offense,,TRF,TRF
TOO MANY SPOT LAMPS,547.327,Offense,,TRF,TRF
TRACTOR BRAKES NOT PROTECTED (IN CASE OF,547.401,Offense,,TRF,TRF
BREAKAWAY),,,,,
"TRADEMARK COUNTERFEITING  >= $1500 < $20,000",PC 32.23,Offense,FELONY,250,10
TRADEMARK COUNTERFEITING  >= $20 < $500,PC 32.23,Offense,MISD,250,10
"TRADEMARK COUNTERFEITING  >= $20,000 < $100,000",PC 32.23,Offense,FELONY,250,10
TRADEMARK COUNTERFEITING  >= $500 < $1500,PC 32.23,Offense,MISD,250,10
TRADEMARK COUNTERFEITING < $20,PC 32.23,Offense,MISD,250,10
TRAFFICKING OF PERSONS,20A.02 (1),Offense,FELONY,64B,31
TRAFFICKING OF PERSONS (PROSTITUTION),20A.02(3)(A)(,Offense,FELONY,64A,30
"",B)(C)(D),,,,
TRESPASS BY HOLDER OF CONCEALED WEAPON,30.06(d),Offense,,520,15
LICENSE,,,,,
TURNED ACROSS DIVIDING SECTION,545.063,Offense,,TRF,TRF
TURNED LEFT FROM WRONG LANE,545.101,Offense,,TRF,TRF
TURNED RIGHT FROM WRONG LANE,545.101,Offense,,TRF,TRF
TURNED RIGHT TOO WIDE,545.101,Offense,,TRF,TRF
TURNED SO AS TO IMPEDE (OR INTERFERE) WITH,545.203,Offense,,TRF,TRF
STREETCAR,,,,,
TURNED WHEN UNSAFE,545.103,Offense,,TRF,TRF
UNAUTH TELECOMMUNICATION,33A.02(b)(2)(,Offense,,90Z,26
"",A),,,,
UNAUTH. USE OF SIREN (WHISTLE OR BELL),547.501,Offense,,TRF,TRF
UNAUTHORIZED USE MOTOR VEHICLE,31.07,Offense,,240,07
UNAUTHORIZED USE OF LIGHTS,547.305,Traffic,MISD,TRF,TRF
UNLAWFUL CARRYING OF HANDGUN BY LICENSE,PC 46.035,Offense,MISD,520,15
HOLDER,,,,,
UNLAWFUL INSTALLATION OF TRACKING DEVICE,PC 16.06,Offense,MISD,90Z,26
"UNLAWFUL INTERCEPTION, USE, OR DISCLOSURE OF",16.02 (b) 1,Offense,FELONY,90Z,26
"WIRE, ORAL, OR ELECTRONIC COMMUNICATIONS",,,,,
UNLAWFUL RESTRAINT,20.02,Offense,,100,26
UNLAWFUL USE OF CRIMINAL INSTRUMENT,PC 16.01,Offense,MISD,90Z,26
UNLAWFULLY CARRYING A WEAPON,46.02,Offense,,520,15
UNLAWFULLY CARRYING A WEAPON (WEAPON FREE,PC 46.11,Offense,FELONY,520,15
UNNECESSARY USE OF HORN,547.501,Offense,,TRF,TRF
UNRESTRAINED CHILD UNDER 4 YEARS OF AGE,545.412,Offense,MISD,TRF,TRF
UNSAFE SPEED (TOO FAST FOR CONDITIONS),545.351,Offense,,TRF,TRF
"UNSAFE START FROM PARKED, STOPPED OR",545.402,Offense,MISD,TRF,TRF
STANDING POSITION,,,,,
"UPON A BRIDGE (STOP, STAND OR PARK) (OR IN",545.302,Offense,,TRF,TRF
TUNNEL),,,,,
"USE EQUIPMENT NOT APPROVED (HEAD LAMP,",547.101,Offense,,TRF,TRF
"SIGNAL LAMP, REFLECTOR, SAFETY GLASS, GLASS",,,,,
"COATING MATERIAL, ETC., SPECIFY)",,,,,
USE LEFT HALF CROSSWALK,552.004,Offense,,TRF,TRF
VEH. ENTERING HIGHWAY FROM PRIVATE ROAD OR,545.155,Offense,,TRF,TRF
DRIVEWAY,,,,,
VEH. ENTERING OR LEAVING CONTROLLED ACCESS,545.154,Offense,,TRF,TRF
HIGHWAY,,,,,
VEH. ENTERING STOP OR YIELD INTERSECTION,545.153,Offense,,TRF,TRF
VEH. HAULING EXPLOSIVES (OR FLAMMABLE,545.254,Offense,,TRF,TRF
MATERIALS) FAILED TO REDUCE SPEED AT RR,,,,,
CROSSING,,,,,
VEH. HAULING EXPLOSIVES (OR FLAMMABLE,545.254,Offense,,TRF,TRF
MATERIALS) FAILED TO STOP AT RR CROSSING,,,,,
"(INSIDE INCORPORATED CITY OR TOWN)",,,,,
"VEHICLE EQUIPPED WITH UNAUTH. SIREN, WHISTLE,",547.501,Offense,,TRF,TRF
OR BELL,,,,,
VIOL OF COURT ORDER PUBLIC NUISANCES,125.066,Offense,,90C,24
VIOLATE AN EXPUNCTION ORDER,55.04,Offense,,90Z,26
VIOLATE DL RESTRICTION-LOFS 18 OR OVER,,Traffic,MISD,TRF,TRF
VIOLATE OPERATOR/DRIVER LICENSE RESTRICTION,521.221,Offense,,TRF,TRF
"(SPECIFY)",,,,,
VIOLATE PROMISE TO APPEAR,543.009,Offense,,90Z,26
VIOLATION OF PROTECTIVE ORDER - 2+ PRIOR,PC 25.07,Offense,FELONY,90F,20
VIOLATION OF PROTECTIVE ORDER OR,25.07,Offense,,90F,20
MAGISTRATE'S ORDER,,,,,
VOYEURISM: 2 OR MORE CONVICTIONS,PC 21.16(C),Offense,MISD,90Z,26
VOYEURISM: VICTIM UNDER 14 YOA,PC 21.16(D),Offense,FELONY,90Z,26
WAKE NO WAKE ZONE,,Offense,,90Z,26
WALKED ON HIGHWAY WITH TRAFFIC (NO,552.006,Offense,,TRF,TRF
SIDEWALKS),,,,,
WALKED ON ROADWAY WHERE SIDEWALKS,552.006,Offense,,TRF,TRF
PROVIDED,,,,,
"WARNING DEVICES NOT DISPLAYED (FLAGS, FUSES,",547.503,Offense,,TRF,TRF
"FLARES, REFLECTORS)",,,,,
"WARNING DEVICES NOT INSTALLED, OR DEFECTIVE",547.502,Offense,,TRF,TRF
"(FLARES, FUSES, ELECTRIC LANTERNS, FLAGS, ETC.)",,,,,
WARRANT ARREST - LOCAL,,Traffic,,TRF,TRF
WARRANT ARREST - OUT OF JURISDICTION,,Traffic,,TRF,TRF
WELFARE CHECK,,Traffic,,TRF,TRF
WINDOW PEEPING,,Offense,,90H,26
WINDOW PEEPING/HOTEL OR MOTEL,,Offense,,90H,26
WINDSHIELD AND WINDOWS MUST BE,547.613,Offense,,TRF,TRF
UNOBSTRUCTED,,,,,
WRECKER DRIVER FAIL TO REMOVE GLASS (ETC.),600.001,Offense,,TRF,TRF
FROM HIGHWAY,,,,,
WRONG COLOR BACK-UP LAMP,547.303,Offense,,TRF,TRF
WRONG COLOR CLEARANCE LAMPS,547.353,Offense,,TRF,TRF
WRONG COLOR I.D. LAMPS,547.353,Offense,,TRF,TRF
WRONG COLOR LICENSE PLATE LIGHT,547.303,Offense,,TRF,TRF
WRONG COLOR SIDE MARKER LAMPS,547.353,Offense,,TRF,TRF
WRONG COLOR SIDE REFLECTORS,547.353,Offense,,TRF,TRF
WRONG COLOR SIGNAL DEVICE,547.303,Offense,,TRF,TRF
WRONG COLOR STOPLIGHT,547.323,Offense,,TRF,TRF
"WRONG, FICTITIOUS, ALTERED, OBSCURED LICENSE",504.945,Offense,MISD,TRF,TRF
PLATE,(a)(4),,,,
ZONING COMMERCIAL OPERATING AUTO REPAIR,,Offense,,90Z,26
FROM HOME,,,,,
